# VoxWrite offline Pinyin lexicon v2
# Generated from jieba 0.42.1 + pypinyin 0.55.0 (MIT)
a	啊 阿 嗄 锕
jinyang	晋阳
jinyanshenxing	谨言慎行
jinyao	紧要
jinyaoguantou	紧要关头
jinyaoshi	金钥匙
jinye	今夜 津液 金叶 晋谒
jinyi	锦衣 襟翼 进益 今译
jinyibu	进一步
jinyibutigao	进一步提高
jinyin	金银 金印 近因 浸淫
jinyinan	金一南
jinyincaibao	金银财宝
jinyindao	金银岛
jinyingyu	金英玉
jinyinhua	金银花
jinyinqi	金银器
jinyintong	金银铜
jinyiwei	锦衣卫
jinyiwu	尽义务
jinyiyushi	锦衣玉食
jinyong	金庸 禁用
jinyongcheng	金墉城
jinyou	近忧
jinyu	近于 金鱼 金玉 禁欲
jinyuan	金元 近缘
jinyuanbao	金元宝
jinyuandan	金元丹
jinyuandi	晋元帝
jinyuanquan	金圆券
jinyuelan	金月兰
jinyun	禁运
jinyunshan	缙云山
jinyuzhuyi	禁欲主义
jinzaiyanqian	近在眼前
jinzaizhichi	近在咫尺
jinzao	尽早
jinze	尽责
jinzhan	进展 进占 近战 进站
jinzhang	紧张 进账
jinzhangdu	紧张度
jinzhangxing	紧张性
jinzhangzong	金章宗
jinzhao	今朝
jinzhen	金针
jinzhengri	金正日
jinzhengyang	今正阳
jinzhi	禁止 金质 进制 尽职 仅只 禁制 金枝
jinzhijiang	金质奖
jinzhijinze	尽职尽责
jinzhijun	金之俊
jinzhipin	禁制品
jinzhiyuye	金枝玉叶
jinzhong	尽忠 晋中 金钟
jinzhongbaoguo	尽忠报国
jinzhongdu	金中都
jinzhou	锦州 金州 晋州
jinzhoushi	锦州市
jinzhu	进驻
jinzhua	紧抓
jinzhuanglong	金壮龙
jinzhui	紧追
jinzhuibushe	紧追不舍
jinzi	金子 金字 浸渍
jinzita	金字塔
jinzitashi	金字塔式
jinzizhaopai	金字招牌
jiong	囧 炯 迥 窘 煚 熲 埛 蘏 炅 冏 颎 扃 澃 冂 烱 駉
jiongjing	窘境
jiongjiong	炯炯
jiongjiongyoushen	炯炯有神
jiongpo	窘迫
jiongranbutong	迥然不同
jiongtai	窘态
jiongyi	迥异
jiou	奇偶
jipai	几排
jipan	几盘
jipao	机炮
jipeiding	吉佩定
jipengfei	姬鹏飞
jipi	几匹 几批 麂皮
jipian	几片 几篇 基片
jipiao	机票 计票
jipidongwu	棘皮动物
jipigeda	鸡皮疙瘩
jipin	极品 祭品 济贫 几品
jiping	几瓶
jipinjiruo	积贫积弱
jipo	击破 急迫
jipu	吉普 记谱
jipuche	吉普车
jipusairen	吉普赛人
jiqi	及其 机器 极其 激起 祭器 几起 即期 基期 吉期 几期
jiqian	几千 积欠
jiqiang	机枪 几枪
jiqiange	几千个
jiqiangshou	机枪手
jiqiankuai	几千块
jiqianli	几千里
jiqianliang	几千两
jiqianmi	几千米
jiqianming	几千名
jiqiannian	几千年
jiqianwan	几千万
jiqianyuan	几千元
jiqiao	技巧 机巧 讥诮
jiqiaoxing	技巧性
jiqichang	机器厂
jiqie	急切 基切 激切
jiqin	基琴
jiqing	激情 吉庆 寄情
jiqingxu	姬清虚
jiqiren	机器人
jiqisheng	机器声
jiqiu	击球
jiqiuyuan	击球员
jiqu	汲取 记取
jiquan	集权 几圈 几拳 极权
jiquanbuliu	鸡犬不留
jiquanbuning	鸡犬不宁
jiquanxiangwen	鸡犬相闻
jiquanzhuyi	极权主义
jiqun	集群 机群
jiran	既然 寂然
jiranruci	既然如此
jiren	继任 己任 几任 记认
jirenjun	季任钧
jirenlixia	寄人篱下
jirenzhe	继任者
jiri	几日 即日 吉日 忌日
jirou	肌肉 鸡肉
jiru	计入 记入 挤入
jiruojipin	积弱积贫
jiruxinghuo	急如星火
jisa	吉萨
jisaier	吉赛尔
jisan	集散
jisandi	集散地
jisao	祭扫
jise	基色
jishan	稷山
jishang	机上 击伤
jishangxinlai	计上心来
jishao	极少
jishaoshu	极少数
jishen	跻身 机身 基什
jisheng	几声 寄生 计生
jishengchong	寄生虫
jishengchongbing	寄生虫病
jishengwei	计生委
jishengwu	寄生物
jishengxing	寄生性
jishenjing	脊神经
jishi	即使 及时 几时 即时 几十 集市 纪事 急事 纪实 计时 记事 基石 技师 既是 吉士 济世 忌食 疾驶 积石 记实 继室
jishibei	几十倍
jishiben	记事本
jishibu	几十步 记事簿
jishici	几十次
jishidai	几十代
jishifenzhong	几十分钟
jishige	几十个
jishigongli	几十公里
jishigongzi	计时工资
jishihu	几十户
jishijia	几十家
jishijin	几十斤
jishikuai	几十块
jishili	几十里
jishiliang	几十两
jishimaoyi	集市贸易
jishimi	几十米
jishiming	几十名
jishimu	几十亩
jishinian	几十年
jishinianruyiri	几十年如一日
jishipi	几十匹
jishiqi	计时器
jishiqianmi	几十千米
jishiruci	即使如此
jishitian	几十天
jishitiao	几十条
jishiwan	几十万
jishiwanyuan	几十万元
jishiwei	几十位
jishiyi	几十亿
jishiyu	及时雨
jishiyuan	几十元
jishizhang	几十张
jishizhi	几十只
jishizhong	几十种
jishou	棘手 几手 几首 吉首 籍授
jishu	技术 记述 基数 级数 计数 记数 奇数 集束 机数 疾书
jishuang	几双
jishubu	技术部
jishuchuangxin	技术创新
jishugaizao	技术改造
jishuguan	计数管
jishui	积水 给水 汲水 计税
jishukaifa	技术开发
jishukaifaqu	技术开发区
jishulei	技术类
jishuqi	计数器
jishurenyuan	技术人员
jishushuiping	技术水平
jishuxing	技术性 技术型
jishuxuexiao	技术学校
jishuyuan	技术员
jishuzhuangbei	技术装备
jisi	祭祀 祭司 吉斯 缉私 几丝 鸡丝 基斯
jisiguangyi	集思广益
jisihan	吉思汗
jisikeng	祭祀坑
jisong	记诵
jisou	几艘
jisu	激素 急速 寄宿 疾速
jisuan	计算
jisuanchi	计算尺
jisuanji	计算机
jisuanjibingdu	计算机病毒
jisuanjisuo	计算机所
jisuanjiwang	计算机网
jisuanjiwangluo	计算机网络
jisuanjixi	计算机系
jisuanjixinxi	计算机信息
jisuanjixitong	计算机系统
jisuanqi	计算器
jisuanzhongxin	计算中心
jisui	脊髓 几岁
jisuihuizhiyan	脊髓灰质炎
jisulei	激素类
jisuo	几所 脊索
jisuobuyu	己所不欲
jisuodongwu	脊索动物
jita	吉他
jitai	祭台 几台 基泰 畸胎
jitan	祭坛
jitang	鸡汤 几趟
jitao	几套
jite	吉特
jiti	集体 机体 计提 肌体 基体 鸡啼
jitian	几天 祭天
jitiao	几条
jitihua	集体化
jitijingji	集体经济
jitingting	季婷婷
jitisuoyou	集体所有
jitisuoyouzhi	集体所有制
jitiwu	集体舞
jitixing	集体性
jitizhuyi	集体主义
jitou	机头 鸡头 几头
jitu	棘突
jituan	集团 基团
jituangongsi	集团公司
jituanhua	集团化
jituanjun	集团军
jitui	击退 鸡腿
jituo	寄托
jiu	就 酒 九 久 旧 救 揪 究 鸠 灸 舅 纠 咎 柩 臼 啾 鹫 玖 厩 欍 韭 阄 疚 赳 僦 紤 殧 桕 糺 鬏 牞 廄
jiuba	酒吧
jiubai	九百
jiubao	酒保
jiubei	酒杯
jiubi	旧币
jiubie	久别
jiubiechongfeng	久别重逢
jiubing	救兵 久病 旧病
jiubingfufa	旧病复发
jiubu	旧部 九部
jiucai	酒菜 韭菜
jiucan	就餐
jiuceng	九层
jiucha	纠察
jiuchadui	纠察队
jiuchan	纠缠
jiuchang	酒厂 久长 九场
jiucheng	旧城 九成
jiuchengqu	旧城区
jiuchi	九尺 臼齿
jiuchong	九重
jiuchu	救出 揪出
jiuci	就此 九次
jiucuo	纠错
jiuda	九大
jiudalu	旧大陆
jiudao	九道
jiudeng	久等
jiudi	旧地
jiudian	酒店 九点
jiudianye	酒店业
jiuding	九鼎
jiudiqucai	就地取材
jiudizhengfa	就地正法
jiudou	酒都 揪斗
jiudu	就读 旧都
jiuduan	九段
jiuerjiuzhi	久而久之
jiufan	就范 酒饭
jiufang	旧房
jiufen	纠纷 九分
jiufeng	纠风 鹫峰
jiufu	舅父
jiufushengming	久负盛名
jiuge	九个 纠葛 九歌 酒歌
jiugong	九宫
jiugongshan	九宫山
jiuguan	酒馆
jiugui	酒鬼
jiuguo	救国
jiuguohui	救国会
jiuguojiumin	救国救民
jiuguojun	救国军
jiuguotuan	救国团
jiuhan	久旱
jiuhanerre	酒酣耳热
jiuhao	九号
jiuhe	纠合
jiuhou	酒后
jiuhu	救护 酒壶
jiuhua	酒花 九华
jiuhuang	韭黄
jiuhuashan	九华山
jiuhuche	救护车
jiuhudui	救护队
jiuhui	酒会 九回
jiuhuo	救火 救活 旧货
jiuji	救济 纠集 救急 九级
jiujia	酒家 救驾 九家
jiujian	九间 久间 九剑
jiujiang	九江 酒浆
jiujiangshi	九江市
jiujianuofu	久加诺夫
jiujiao	旧交
jiujie	纠结 九届 九节
jiujiebian	九节鞭
jiujiequanguorenda	九届全国人大
jiujijin	救济金
jiujikuan	救济款
jiujiliang	救济粮
jiujin	就近
jiujing	究竟 酒精 久经
jiujingdeng	酒精灯
jiujingkaoyan	久经考验
jiujingshachang	久经沙场
jiujinshan	旧金山
jiujiu	舅舅 久久 救救 九九
jiujiubashiyi	九九八十一
jiuju	酒具 久居 旧居
jiukujiunan	救苦救难
jiulei	酒类
jiuli	九里 久利 旧历 旧例
jiuliang	酒量
jiulianshan	九连山
jiuling	酒令
jiuliu	久留 九流
jiulong	九龙
jiulongjiang	九龙江
jiulongshan	九龙山
jiulou	酒楼
jiuma	舅妈
jiumao	旧貌
jiumei	久美
jiumen	九门
jiumeng	旧梦
jiuming	救命 九名
jiumingdaocao	救命稻草
jiumingzhien	救命之恩
jiuminshuihuo	救民水火
jiumu	舅母
jiunan	救难
jiunian	九年 旧年
jiunianzhi	九年制
jiuniuerhuzhili	九牛二虎之力
jiuniuyimao	九牛一毛
jiupian	九篇
jiupin	九品
jiuping	酒瓶
jiupingzi	酒瓶子
jiuqi	酒气 救起 酒器
jiuqian	酒钱 九千
jiuqianliang	九千两
jiuqin	就寝 就擒
jiuqing	九卿 旧情
jiuqu	九曲 酒曲
jiuquan	酒泉 九泉
jiuquanshi	酒泉市
jiuquanzhixia	九泉之下
jiuquhuichang	九曲回肠
jiurang	就让
jiuren	救人 就任 旧人
jiurenyiming	救人一命
jiuri	旧日 九日
jiurou	酒肉
jiusanxueshe	九三学社
jiuse	酒色
jiushehui	旧社会
jiusheng	救生
jiushengquan	救生圈
jiushengting	救生艇
jiushengyi	救生衣
jiushi	就是 九十 酒食 旧时 旧事 旧式 就势 救世 旧诗 旧识
jiushidu	九十度
jiushijiu	九十九
jiushijiumi	九十九米
jiushiliu	九十六
jiushilunshi	就事论事
jiushinian	九十年
jiushiniandai	九十年代
jiushiqi	旧石器
jiushiqishidai	旧石器时代
jiushishuo	就是说
jiushisuan	酒石酸
jiushisui	九十岁
jiushizhu	救世主
jiushou	就手
jiushu	旧书
jiushui	酒水
jiusi	酒肆
jiusifushang	救死扶伤
jiusiyisheng	九死一生
jiusu	旧俗
jiusuan	就算
jiusui	九岁 旧岁
jiutan	酒坛
jiutian	九天
jiutiao	九条
jiutishi	旧体诗
jiutong	酒桶
jiutou	九头
jiuwang	救亡
jiuwangtucun	救亡图存
jiuwangyundong	救亡运动
jiuwei	就位 久违 九尾 酒味 九位
jiuwen	旧闻
jiuwendaming	久闻大名
jiuwo	酒窝
jiuwu	九五
jiuwuzhizun	九五之尊
jiuxi	酒席 九溪 旧习
jiuxian	九线
jiuxiang	酒香
jiuxiao	九霄
jiuxiaoyunwai	九霄云外
jiuxiguan	旧习惯
jiuxin	揪心
jiuxing	救星 九姓 酒醒 酒兴 酒性
jiuxu	就绪
jiuxue	就学 旧学
jiuyan	酒宴 酒筵
jiuyang	九阳 久仰
jiuyao	就要 酒肴
jiuye	就业 九叶 舅爷
jiuyeban	就业办
jiuyechu	就业处
jiuyelv	就业率
jiuyi	就医 久已 就义 酒意
jiuyiba	九一八
jiuyibashibian	九一八事变
jiuyin	酒瘾
jiuying	救应
jiuyinzhenjing	九阴真经
jiuyou	旧有 旧友
jiuyouziqu	咎由自取
jiuyuan	救援 久远 九原
jiuyue	九月 旧约
jiuyuechu	九月初
jiuyuedi	九月底
jiuyunhui	九运会
jiuzai	救灾
jiuzaikuan	救灾款
jiuzao	酒糟
jiuzhai	旧宅 九寨
jiuzhaigou	九寨沟
jiuzhang	九章 九丈
jiuzhen	就诊
jiuzheng	纠正
jiuzhi	旧址 救治 旧制 就职 久之 九只
jiuzhibuyu	久治不愈
jiuzhong	酒盅 九中 九种
jiuzhou	九州
jiuzhoudao	九州岛
jiuzhu	救助 旧主
jiuzu	九族
jiuzufanbao	酒足饭饱
jiuzuo	就座 旧作
jiwan	几万 几碗
jiwang	既往 寄望
jiwangbujiu	既往不咎
jiwangkailai	继往开来
jiwankuai	几万块
jiwanliang	几万两
jiwanpian	几万片
jiwanyuan	几万元
jiwei	极为 几位 即位 继位 计委 纪委 几味 机位
jiweijiu	鸡尾酒
jiwen	积温 祭文 纪闻 几文
jiwo	鸡窝
jiwu	机务 急务
jiwuduan	机务段
jiwuli	肌无力
jiwushi	计无施
jixi	积习 即席 冀西 计息 鸡西
jixia	几下 记下
jixian	极限 基线 蓟县 集贤 冀县 祭献 脊线
jixianfeng	急先锋
jixiang	吉祥 迹象 吉象 几项 机箱 几响
jixiangpai	吉象牌
jixiangruyi	吉祥如意
jixiangwu	吉祥物
jixianlin	季羡林
jixianwei	肌纤维
jixianyundong	极限运动
jixiao	极小 绩效 讥笑 技校
jixiaofeng	姬晓峰
jixiaolan	纪晓岚
jixie	机械 记协
jixiechang	机械厂
jixiegong	机械功
jixiegongyebu	机械工业部
jixiehua	机械化
jixielun	机械论
jixieneng	机械能
jixieshi	机械式 机械师
jixieshou	机械手
jixieweiwuzhuyi	机械唯物主义
jixiexi	机械系
jixiexing	机械性
jixiexingneng	机械性能
jixiexue	机械学
jixieyundong	机械运动
jixin	机心 机芯 寄信
jixing	急性 畸形 机型 极性 记性 即兴 剂型 几行 疾行 极刑 基性 纪行
jixingbing	急性病
jixinge	基辛格
jixinger	畸形儿
jixingjun	急行军
jixingyan	基性岩
jixingzi	急性子
jixinpeng	吉新鹏
jixiong	吉凶 鸡胸
jixionghuofu	吉凶祸福
jixiu	机修
jixu	继续 积蓄 急需 记叙 亟需 几许 亟须
jixue	积雪 鸡血
jixun	集训
jixundui	集训队
jixuwen	记叙文
jiya	挤压 积压 羁押
jiyan	几眼 基岩 鸡眼
jiyang	寄养 几样 给养 激扬 技痒
jiyangxian	济阳县
jiyanlise	疾言厉色
jiyao	纪要 机要 急要
jiyaochu	机要处
jiyaoyuan	机要员
jiyazu	季亚族
jiye	基业 吉野 几页 几夜
jiyi	技艺 记忆 机翼 计议 机宜 祭仪 几亿 辑佚
jiyifa	记忆法
jiyili	记忆力
jiyin	基因
jiyinzu	基因组
jiyiyouxin	记忆犹新
jiyong	急用
jiyou	既有 集邮 极右 机油 绩优
jiyu	给予 基于 机遇 急于 给与 觊觎 寄予 际遇 鲫鱼 寄语 寄寓 积郁 偈语
jiyuan	妓院 机缘 纪元 积怨 济源 几员
jiyue	激越 集约 几月
jiyuehua	集约化
jiyuejingying	集约经营
jiyuexing	集约型
jiyulin	季雨林
jiyun	积云 集韵
jiyunhe	蓟运河
jiyunqing	纪云卿
jiyuqiucheng	急于求成
jiyuyun	积雨云
jizai	记载 机载
jizan	积攒
jizao	及早 急躁 祭灶 几遭
jizeng	激增
jizhan	激战 基站 挤占 几盏
jizhang	几张 机长 击掌 几丈 记账 几章
jizhanshu	技战术
jizhao	几招 吉兆
jizhe	记者
jizhebu	记者部
jizhehui	记者会
jizhen	集镇 急诊
jizheng	急症
jizhenke	急诊科
jizhenshi	急诊室
jizhetuan	记者团
jizhezhan	记者站
jizhezheng	记者证
jizhi	机制 及至 极致 几只 机智 基质 几支 继之 基址 极值 几枝 极至
jizhihua	机制化
jizhong	集中 几种 击中 机种 冀中 几重 计重
jizhongdi	集中地
jizhongdu	集中度
jizhongnanfan	积重难返
jizhongqu	集中区
jizhongshengzhi	急中生智
jizhongshi	集中式
jizhongying	集中营
jizhou	济州 蓟州 冀州 几周 急骤 极昼
jizhoudao	济州岛
jizhu	记住 机主 寄主 脊柱 几株 集注 济助 肌注
jizhuan	急转
jizhuang	集装 几桩
jizhuangxiang	集装箱
jizhuangxiangchuan	集装箱船
jizhuanti	纪传体
jizhuanwan	急转弯
jizhuanzhixia	急转直下
jizhui	脊椎
jizhuidongwu	脊椎动物
jizhuigu	脊椎骨
jizhun	基准
jizhunri	基准日
jizhuo	几桌
jizi	集资 集子 机子 己子 继子
jizou	疾走
jizu	机组 祭祖 几组
jizuo	基座 极左 几座
jizuobiao	极坐标
jizushan	鸡足山
ju	据 居 举 句 具 距 局 聚 俱 巨 剧 惧 拒 咀 勮 菊 锯 琚 榘 拘 炬 婅 沮 椈 矩 挶 踞 驹 桔 讵 閰 橘
juai	举哀
juan	涓 卷 勬 娟 捐 鐫 绢 鎸 鹃 倦 眷 隽 鄄 镌 埍 巻 锩 姢 蠲 臇 狷 勌 呟 劵 脧 蔨
juanbai	卷柏
juanben	绢本
juancheng	鄄城
juandai	倦怠
juandi	涓滴
juanfa	卷发
juangei	捐给
juangu	眷顾
juanhua	绢花
juanjin	卷进
juanjuan	涓涓
juanke	镌刻
juankuan	捐款
juanlian	眷恋 卷帘
juanmian	蠲免 卷面
juanmo	卷末
juanpugai	卷铺盖
juanqi	卷起
juanqimei	举案齐眉
juanqu	卷曲 捐躯
juanrao	卷绕
juanru	卷入
juanshang	卷上
juanshou	卷首
juanshu	眷属
juanshui	捐税
juansiwei	居安思危
juantong	卷筒
juantuchonglai	卷土重来
juanweihou	卷尾猴
juanwu	捐物
juanxian	捐献
juanxianzhe	捐献者
juanxincai	卷心菜
juanxiu	娟秀
juanxu	卷须
juanyan	卷烟
juanyanchang	卷烟厂
juanyi	倦意
juanyong	隽永
juanyun	卷云
juanzeng	捐赠
juanzhi	聚氨酯 卷帙
juanzhihaofan	卷帙浩繁
juanzhou	卷轴
juanzhu	捐助
juanzi	卷子 捐资
juanzong	卷宗
juao	倨傲
jubaisai	居柏塞
juban	举办
jubao	举报
jubaopen	聚宝盆
jubaoren	举报人
jubaoxin	举报信
jubei	具备 举杯 俱备
juben	剧本
jubenyixi	聚苯乙烯
jubian	剧变 巨变 聚变
jubing	举兵
jubingxi	聚丙烯
jubingxijing	聚丙烯腈
jubo	巨擘
jubosai	居伯塞
jubu	局部 拘捕 举步 拒捕
jububianliang	局部变量
jubushengju	举不胜举
jubuweijian	举步维艰
jubuxing	局部性
jucai	锯材
jucan	聚餐
juchang	剧场
jucheng	据称
juchi	锯齿
juchong	巨虫
juchu	举出
juchuan	据传
juci	据此
jucu	局促
jucubuan	局促不安
jucuo	举措
juda	巨大
judi	局地
judian	据点
judingerxi	聚丁二烯
judong	举动
judou	句读
judu	剧毒 聚赌
juduo	居多
jue	觉 绝 决 掘 勪 嚼 诀 巨额 爵 貜 撅 厥 蕨 傕 倔 崛 噘 獗 攫 钁 橛 鐝 蹶 矍 谲 鐍 弡 蹻 殌 抉 镢 瑴
juebi	绝壁 绝笔
juebie	诀别
juebu	绝不 决不
juebuhui	决不会
juebuneng	决不能
juecai	蕨菜
juece	决策
juececeng	决策层
juecequan	决策权
juecezhe	决策者
juecezhichixitong	决策支持系统
juecha	觉察
juechang	绝唱
juechenerqu	绝尘而去
juechu	决出
juechufengsheng	绝处逢生
jueda	绝大
juedabufen	绝大部分
juedaduoshu	绝大多数
juedaduoshuzhan	绝大多数站
juedai	绝代
juede	觉得
juedi	绝地 决堤
jueding	决定 绝顶
juedinglun	决定论
juedingquan	决定权
juedingshu	决定书
juedingxing	决定性
juedou	决斗 角斗
juedouchang	角斗场
juedoushi	角斗士
jueduan	决断
juedui	绝对
jueduihua	绝对化
jueduiliang	绝对量
jueduilingdu	绝对零度
jueduiwendu	绝对温度
jueduixing	绝对性
jueduizhenli	绝对真理
jueduizhi	绝对值
juefei	绝非 决非
juehao	绝好
juehou	绝后
juehu	绝户
juehuo	绝活
juehuoer	绝活儿
jueji	决计 绝技 绝迹
juejia	绝佳
juejiang	倔强 倔犟
juejiao	绝交
juejin	掘进 掘金
juejing	绝境 绝经
juejingqi	绝经期
jueju	绝句
juejue	决绝
juekai	掘开
juekou	决口 绝口
juelei	蕨类
jueleizhiwu	蕨类植物
jueli	角力
juelie	决裂
juelu	绝路 爵禄
juelun	绝伦
jueluo	觉罗
juemi	绝密
juemiao	绝妙
juemie	绝灭
juemingshi	绝命诗
juemu	掘墓
juemuren	掘墓人
juepin	绝品
jueqi	崛起
jueqiao	诀窍
jueqing	绝情
juequ	攫取 掘取
jueran	决然 绝然
juere	绝热
juereguocheng	绝热过程
juesai	决赛
juesaiquan	决赛权 决赛圈
juese	角色 绝色
juesha	绝杀
jueshao	绝少
juesheng	决胜
jueshengju	决胜局
jueshengpan	决胜盘
jueshi	爵士 绝世 绝食
jueshiyue	爵士乐
jueshuo	矍铄
juesi	决死
juesuan	决算
juetou	镢头
juewang	绝望
juewei	爵位
juewu	觉悟 绝无 决无
juewucishi	决无此事
juewujinyou	绝无仅有
juexin	决心
juexing	觉醒
juexue	绝学
jueye	爵爷
jueyi	决议 决意 绝艺
jueyian	决议案
jueyisizhan	决一死战
jueyu	绝育
jueyuan	绝缘
jueyuanti	绝缘体
jueyuanxing	绝缘性
jueyuanzi	绝缘子
jueze	抉择
juezhan	决战
juezhao	绝招
juezhe	觉着
juezheng	绝症
juezhong	绝种
juezhu	角逐
juezijuesun	绝子绝孙
jufa	句法
jufan	举凡
jufang	局方
jufeng	飓风
jufu	巨幅 巨富
jufufangbian	拒腐防变
jugang	巨港
jugaobuxia	居高不下
jugaolinxia	居高临下
jugong	鞠躬 居功
jugongjincui	鞠躬尽瘁
jugongziao	居功自傲
juguang	聚光
juguangdeng	聚光灯
juguoshangxia	举国上下
juhao	句号
juhe	聚合
juhewu	聚合物
juhong	桔红 橘红
juhongse	橘红色
juhua	菊花
juhuacha	菊花茶
juhui	聚会
juji	聚集 狙击 聚积 局级
jujia	举家 居家 俱佳
jujian	举荐 居间 巨舰 聚歼 剧减
jujiang	巨匠
jujiao	聚焦
jujidi	聚集地
jujie	举借
jujin	拘谨 拘禁
jujingbang	巨鲸帮
jujinghuishen	聚精会神
jujishou	狙击手
juju	聚居 句句
jujudi	聚居地
jujue	拒绝 咀嚼
jujuqu	聚居区
juke	菊科
jukuan	巨款
julang	巨浪
julebu	俱乐部
julebudui	俱乐部队
juli	距离 举例 居里 局里 拘礼 巨力
julian	聚敛
juliang	巨量
julie	剧烈
julifuren	居里夫人
juligan	距离感
julilaishuo	举例来说
julilizheng	据理力争
juliu	拘留 居留
juliuquan	居留权
juliusuo	拘留所
juliuzheng	居留证
julong	巨龙 聚拢
julu	巨鹿
julun	巨轮
juluo	聚落
julushi	居鲁士
julvyixi	聚氯乙烯
jumahe	拒马河
jumang	巨蟒
jumian	局面
jumin	居民
jumindian	居民点
juming	具名
juminlou	居民楼
juminqu	居民区
jumu	剧目 举目 锯木
jumuwuqin	举目无亲
jun	军 均 郡 君 俊 菌 钧 峻 浚 鍕 骏 箟 儁 濬 蚐 麇 桾 竣 箘 麕 捃 珺 寯 畯 馂 焌 皹 軍 鲪 莙
junan	君安
junban	菌斑
junbao	军报
junbei	军备
junbingzhong	军兵种
junbu	军部
junbujian	君不见
junche	军车
junchen	君臣
junda	均达
jundaibiao	军代表
jundao	军刀 钧道
jundayi	军大衣
jundeng	均等
jundi	军地
jundui	军队
junfa	军阀 军法
junfacongshi	军法从事
junfang	军方
junfei	军费
junfen	均分
junfenqu	军分区
junfu	军服
jungang	军港
junge	军歌
jungen	菌根
jungong	竣工 军工 军功
jungongchang	军工厂
jungongzhang	军功章
junguan	军官 军管
junguanhui	军管会
jungui	军规
junguozhuyi	军国主义
junhao	军号
junheng	均衡
junhenghua	均衡化
junhui	军徽
junhuo	军火
junhuoshang	军火商
juni	拘泥
junji	军机 军纪 军籍
junjian	军舰
junjiaoyunshu	军交运输
junjichu	军机处
junjie	军界 俊杰
junjing	军警
junkong	军控
junlang	俊朗
junlei	菌类
junli	军力 军礼
junliang	军粮
junlie	龟裂 皲裂
junlin	君临
junling	军令 峻岭
junlingrushan	军令如山
junlingzhuang	军令状
junluo	菌落
junlv	军旅
junma	军马 骏马
junmachang	军马场
junmao	军帽
junmei	俊美
junmen	军门
junmiao	菌苗
junmin	军民
junmingongjian	军民共建
junpin	军品
junqi	军器 军旗
junqiao	俊俏 峻峭
junqing	军情
junqu	军区
junquan	君权 军权 军犬
junqudui	军区队
junren	军人
junrong	军容
junsao	军嫂
junshan	君山 军山
junshi	军事 军师 军士 均势
junshibu	军事部
junshifating	军事法庭
junshifayuan	军事法院
junshiguanzhi	军事管制
junshihua	军事化
junshijia	军事家
junshijianchayuan	军事检察院
junshijidi	军事基地
junshikexue	军事科学
junshikexueyuan	军事科学院
junshishi	军事史
junshitanding	君士坦丁
junshitandingbao	君士坦丁堡
junshixue	军事学
junshixueshu	军事学术
junshixueyuan	军事学院
junshou	军售 郡守
junshu	军属
junsi	菌丝
junsiti	菌丝体
juntan	均摊
juntianzhi	均田制
juntong	军统
juntuan	军团
juntuanzhang	军团长
juntun	军屯
junwang	君王 郡王
junwei	军委 军威
junweihui	军委会
junwen	俊文
junwu	军务
junxian	军衔 郡县 均线 浚县
junxiang	军饷
junxianzhi	郡县制
junxiao	军校
junxie	军械
junxin	军心
junxiu	俊秀
junxu	军需
junxun	军训
junxupin	军需品
junya	俊雅
junyao	钧窑
junyi	军医 军衣
junying	军营
junyong	军用
junyue	军乐
junyuedui	军乐队
junyun	均匀
junzhan	军战
junzhang	军长 军帐
junzhen	军阵
junzheng	军政
junzhengfu	军政府
junzhi	军制 均值 军职
junzhong	军中 军种 菌种
junzhu	君主 郡主 菌株
junzhuan	军转
junzhuang	军装
junzhuguo	君主国
junzhulixian	君主立宪
junzhulixianzhi	君主立宪制
junzhuzhi	君主制
junzhuzhuanzhi	君主专制
junzi	君子 军资
junzilan	君子兰
junzixieding	君子协定
junziyiyan	君子一言
jupa	惧怕
juqi	举起 聚齐
juqian	拒签
juqibuding	举棋不定
juqie	惧怯
juqing	剧情
juquan	俱全
juran	居然
juren	举人 巨人
jurenqianli	拒人千里
jurenyuqianlizhiwai	拒人于千里之外
jurong	句容
jusan	聚散
jusang	沮丧
jusanhuaxu	聚伞花序
juse	惧色
jushang	巨商
jushe	剧社
jushi	局势 巨石 居士 居室 举世 句式 据实 菊石 巨室
jushiwenming	举世闻名
jushiwushuang	举世无双
jushizhen	巨石阵
jushizhumu	举世瞩目
jushou	举手 据守 聚首 拒收 居首
jushoutouzu	举手投足
jushouzhilao	举手之劳
jushu	拘束
jushuli	拘束力
jushuo	据说
jusifuyixi	聚四氟乙烯
jusuo	居所
jutang	聚糖
jutansuanzhi	聚碳酸酯
juti	具体
jutidishuo	具体地说
jutihua	具体化
jutilaishuo	具体来说
jutiqingkuang	具体情况
jutishuolai	具体说来
jutixing	具体性
jutong	剧痛
jutou	巨头 举头
jutuan	剧团
juwairen	局外人
juweihui	居委会
juweijiyou	据为己有
juwenpei	居文沛
juwuba	巨无霸
juxi	据悉 巨细
juxian	局限 莒县 举贤
juxianan	聚酰胺
juxiang	巨响 具象
juxianxing	局限性
juxibao	巨细胞
juxie	剧协
juxin	居心
juxing	举行 巨型 矩形 巨星 句型
juxingji	巨型机
juxinpoce	居心叵测
juya	拘押
juyan	巨眼
juye	巨野
juyi	拘役 聚义
juyifansan	举一反三
juyiting	聚义厅
juyixi	聚乙烯
juyixichun	聚乙烯醇
juyong	居庸
juyongguan	居庸关
juyou	具有
