# VoxWrite offline Pinyin lexicon v2
# Generated from jieba 0.42.1 + pypinyin 0.55.0 (MIT)
a	啊 阿 嗄 锕
aolinpike	奥林匹克
aolinpikegongyuan	奥林匹克公园
aolinpikeyundong	奥林匹克运动
aolinpikeyundonghui	奥林匹克运动会
aolinpiya	奥林匹亚
aolinuoke	奥里诺科
aolinuokehe	奥里诺科河
aolisa	奥里萨
aolunbao	奥伦堡
aomaer	奥马尔
aoman	傲慢
aomanwuli	傲慢无礼
aomei	奥美
aomeiding	奥美定
aomen	澳门
aomenbandao	澳门半岛
aomentebiexingzhengqu	澳门特别行政区
aomi	奥秘
aomian	凹面
aomianjing	凹面镜
aomiao	奥妙
aomiaowuqiong	奥妙无穷
aomulie	奥木列
aonao	懊恼
aoniejin	奥涅金
aonier	奥尼尔
aoniya	奥尼亚
aonuofei	奥诺费
aonuomake	奥诺马克
aopangbo	奥庞波
aopatela	奥帕特拉
aoqi	傲气
aoqierbate	奥其尔巴特
aoqingha	奥庆哈
aoran	傲然
aoruina	奥瑞纳
aosage	奥萨哥
aosailuo	奥赛罗
aosang	懊丧
aoshan	鳌山
aoshi	傲视
aoshiti	奥氏体
aosiding	奥斯丁
aosika	奥斯卡
aosikajiang	奥斯卡奖
aosilu	奥斯陆
aosiludaxue	奥斯陆大学
aosiman	奥斯曼
aosimandiguo	奥斯曼帝国
aosimo	奥斯摩
aosite	奥斯特
aositeluofusiji	奥斯特洛夫斯基
aositewaerde	奥斯特瓦尔德
aositing	奥斯汀
aotaoji	奥陶纪
aoteer	奥特尔
aotu	凹凸
aotubuping	凹凸不平
aotuo	奥托
aowang	澳网
aoweiersi	奥维尔斯
aoweihui	奥委会
aoxian	凹陷 拗陷
aoxiang	翱翔
aoye	熬夜
aoyou	遨游
aoyuan	澳元
aoyun	奥运
aoyunhui	奥运会
aozhan	鏖战
aozhou	澳洲
aozi	鏊子
aozuwei	奥组委
apaqi	阿帕奇
apianlei	阿片类
apo	阿婆
aqilao	阿契劳
aqilaosi	阿契劳斯
aqimuboke	阿奇木伯克
aqitai	阿奇太
aqizi	阿齐兹
asade	阿萨德
asaibaijiang	阿塞拜疆
asailuo	阿赛洛
asamu	阿萨姆
asandi	阿散蒂
ase	阿瑟
asenna	阿森纳
asennadui	阿森纳队
ashen	阿什
ashenhabade	阿什哈巴德
ashima	阿诗玛
asi	阿斯
asiba	阿斯巴
asidi	阿斯第
asidun	阿斯顿
asike	阿斯科
asimala	阿斯马拉
asipilin	阿司匹林 阿斯匹林
asitelahan	阿斯特拉罕
asiwang	阿斯旺 阿斯王
asu	阿苏
atailu	阿太卢
ataisi	阿泰斯
ate	阿特
atelasi	阿特拉斯
atika	阿提卡
atuopin	阿托品
awa	阿瓦
awaer	阿瓦尔
aweiniweng	阿维尼翁
axiuluo	阿修罗
aya	啊呀
ayebo	阿耶波
ayi	阿姨
ayo	啊哟
ayoubu	阿尤布
ayuwang	阿育王
azhantuo	阿旃陀
azite	阿兹特
azixiao	阿紫笑
ba	把 吧 罢 八 巴 拔 爸 粑 灞 扒 坝 霸 耙 胈 靶 钯 跋 叭 鲌 疤 峇 笆 哵 芭 捌 魃 紦 弝 岜 犮 妭 罷
baba	爸爸 巴巴
babaduosi	巴巴多斯
babai	八百
babaiban	八佰伴
babaien	巴柏恩
babaili	八百里
babailiang	八百两
babainian	八百年
babaiwan	八百万
babaizhijiao	八拜之交
babao	八宝
babaoshan	八宝山
babei	八辈
babeiqi	巴贝奇
babeizi	八辈子
babi	巴比
babiao	靶标
babilun	巴比伦
babilunwangguo	巴比伦王国
babing	把柄
babosa	巴博萨
babu	八部 巴布 八步
babude	巴不得
babuya	巴布亚
babuyaxinjineiya	巴布亚新几内亚
bacao	拔草
baceng	八层
bachang	靶场
bacheng	八成
bachi	把持 八尺
bachibuding	把持不定
bachu	拔出 罢黜 拔除
bachubaijia	罢黜百家
baci	八次
bacun	八寸
bada	八大 吧嗒 八达
badai	八袋 八代
badaling	八达岭
badalingchangcheng	八达岭长城
badalv	巴达律
badan	巴丹
badanjilin	巴丹吉林
badanjilinshamo	巴丹吉林沙漠
badao	霸道 八道
badaoxiangzhu	拔刀相助
bade	巴德
badeng	巴登
badian	八点
badiao	拔掉
badierqi	拔地而起
bading	坝顶 巴丁
badong	巴东
badongxian	巴东县
badou	巴豆
badu	八度
badui	八队
badun	巴顿
baduo	把舵
baer	巴尔 把儿
baerdemo	巴尔的摩
baergan	巴尔干
baerganbandao	巴尔干半岛
baergandiqu	巴尔干地区
baerkashihu	巴尔喀什湖
baermo	巴尔默
baersai	巴尔赛
baerzhake	巴尔扎克
bafaliya	巴伐利亚
bafaliyazhou	巴伐利亚州
bafan	八幡
bafang	八方
bafeite	巴菲特
bafen	八分
bafeng	把风
bafenwan	巴芬湾
bafuluofu	巴甫洛夫
bagao	拔高
bage	八个 八哥
bageda	巴格达
bagen	八根
bagong	罢工
bagu	八股 巴古
bagua	八卦
baguadao	八卦刀
baguan	罢官 把关
baguazhang	八卦掌
baguazhen	八卦阵
baguo	巴国
baguolianjun	八国联军
baguwen	八股文
baha	巴哈
bahama	巴哈马
bahao	八号
bahe	巴赫 拔河 巴河
bahen	疤痕
bahu	跋扈
bahuang	八荒
bai	白 拜 摆 百 败 柏 掰 粨 稗 粺 擘 敗 佰 拝 襬
baiaixing	白矮星
baibai	白白 摆摆 拜拜
baibaide	白白的
baibaidi	白白地
baibaier	柏柏尔
baibaijingjing	白白净净
baibaipangpang	白白胖胖
baiban	百般 白斑 白板
baibao	百宝
baibazi	拜把子
baibei	百倍 败北
baibi	败笔
baibie	拜别
baibing	败兵
baibu	白布 摆布 百步 百部
baibuchuanyang	百步穿杨
baicai	白菜
baicao	百草
baicheng	白城
baichengshi	白城市
baichi	白痴 白吃 百尺
baichideng	白炽灯
baichongxi	白崇禧
baichou	白绸
baichu	百出
baichunlu	白唇鹿
baici	拜辞 白瓷 百次
baicu	白醋
baida	白搭
baidagua	白大褂
baidai	白带 百代
baidanbai	白蛋白
baidao	拜倒
baidi	白地 白底
baidian	白点 拜垫
baidianfeng	白癜风
baidicheng	白帝城
baiding	白丁
baiditan	摆地摊
baidong	摆动
baidu	百度 摆渡 拜读
baiduan	百端
baidun	百吨
baie	白垩 白鹅
baieji	白垩纪
baieluosi	白俄罗斯
baienjie	白恩杰
baiergongsi	拜尔公司
baierxia	白二侠
baifa	白发
baifabaizhong	百发百中
baifacangcang	白发苍苍
baifan	白饭
baifang	拜访 摆放
baifei	白费
baifeidaixing	百废待兴
baifen	白粉 百分
baifenbai	百分百
baifenbi	百分比
baifenbing	白粉病
baifendian	百分点
baifenlv	百分率
baifenshu	百分数
baifenzhi	百分之 百分制
baifenzhiba	百分之八
baifenzhibai	百分之百
baifenzhibashi	百分之八十
baifenzhier	百分之二
baifenzhiershi	百分之二十
baifenzhijiu	百分之九
baifenzhijiushi	百分之九十
baifenzhiliu	百分之六
baifenzhiliudian	百分之六点
baifenzhiqi	百分之七
baifenzhiqishi	百分之七十
baifenzhisan	百分之三
baifenzhisanshi	百分之三十
baifenzhishi	百分之十
baifenzhisi	百分之四
baifenzhisidian	百分之四点
baifenzhisishi	百分之四十
baifenzhiwu	百分之五
baifenzhiwushi	百分之五十
baifenzhiyi	百分之一
baifo	拜佛
baifu	拜服
baifuqin	百富勤
baiganjiaoji	百感交集
baige	百个
baigei	败给
baigesen	柏格森
baigong	白宫
baigongli	百公里
baigou	白沟
baigu	白骨
baiguan	百官 白鹳
baiguang	白光
baiguangen	白广恩
baigui	白圭
baigujing	白骨精
baiguo	白果
baiguoshu	白果树
baihai	白海
baihanfeng	白寒枫
baihansong	白寒松
baihao	摆好
baihe	百合 白鹤 白河
baihehua	百合花
baiheke	百合科
baihexian	白河县
baihongguanri	白虹贯日
baihou	白喉
baihu	白虎 百户
baihua	百花 白花 白话 白桦
baihuahua	白花花
baihuai	败坏
baihuajiang	百花奖
baihuanghuang	白晃晃
baihuaqifang	百花齐放
baihuashe	白花蛇
baihuashi	白话诗
baihuashu	白桦树
baihuawen	白话文
baihuayuan	百花园
baihuguan	白虎观
baihui	拜会 白灰
baihuixue	百会穴
baihuo	百货 白活
baihuodalou	百货大楼
baihuodian	百货店
baihuogongsi	百货公司
baihuojiao	拜火教
baihuoshangdian	百货商店
baihutang	白虎堂
baihutong	白虎通
baiji	百级 百济 败绩
baijia	白家 百家 败家
baijian	拜见
baijiang	败将
baijiangtu	白浆土
baijiaobang	白蛟帮
baijiaxing	百家姓
baijiaxuan	白嘉轩
baijiazhengming	百家争鸣
baijiazhuang	白家庄
baijiazi	败家子
baijin	白金 百斤 白晋
baijing	白净
baijinhangong	白金汉宫
baijinzhuyi	拜金主义
baijiu	白酒
baiju	败局
baijuan	白卷
baijun	败军 白军
baijuyi	白居易
baikai	摆开 掰开
baikaishui	白开水
baikazhi	白卡纸
baike	百科 拜客
baikeming	白克明
baikequanshu	百科全书
baikou	百口
baikuo	摆阔
baila	白蜡
bailan	白兰
bailandi	白兰地
bailang	白浪 白朗
bailangua	白兰瓜
bailanhua	白兰花
bailaohui	百老汇
bailashu	白蜡树
bailei	败类
baili	百里 百利
bailian	白莲 白脸
bailiang	百辆 百两
bailianjiao	白莲教
bailiaozi	柏辽兹
bailie	摆列
bailin	白磷
bailina	白丽娜
bailing	白领 白令 百灵
bailinghai	白令海
bailingjieceng	白领阶层
bailitiaoyi	百里挑一
bailiwen	白礼文
bailongjian	白龙剑
bailongjiang	白龙江
bailu	败露 白鹭
bailucang	白鹿仓
bailucun	白鹿村
bailudong	白鹿洞
bailun	拜伦
bailuo	败落
bailuobo	白萝卜
bailushuyuan	白鹿书院
bailuyuan	白鹿原
bailuzhen	白鹿镇
baima	白马
baimang	百忙
baimangmang	白茫茫
baimangzhizhong	百忙之中
baimao	白猫 白帽
baimaonv	白毛女
baimashan	白马山
baimasi	白马寺
baimawangzi	白马王子
baimeiseng	白眉僧
baimeiying	白眉鹰
baimi	百米 白米
baimian	白面
baimianshusheng	白面书生
baimiao	白描
baimifan	白米饭
baiming	百名 摆明
baimingchuan	白明川
baimo	白沫
baimu	百亩 柏木
baimuda	百慕大
baimudaqundao	百慕大群岛
bainaben	百衲本
baineizhang	白内障
bainen	白嫩
bainian	百年 拜年
bainianbuyu	百年不遇
bainiandaji	百年大计
bainiangzi	白娘子
bainianzhihou	百年之后
bainiao	百鸟
bainiluohe	白尼罗河
bainong	摆弄
baipao	白袍
baipian	百篇
baiping	摆平
baipishu	白皮书
baiputaojiu	白葡萄酒
baiqi	白旗 白起 摆起
baiqiang	百强
baiqiangxian	百强县
baiqitun	白鳍豚
baiqiuen	白求恩
baiqu	白区
bairehua	白热化
bairen	白人 白刃
bairenmuniheidui	拜仁慕尼黑队
bairi	白日 百日
bairike	百日咳
bairimeng	白日梦
bairiweixin	百日维新
bairizuomeng	白日做梦
bairou	白肉
bairuyu	白如玉
baisanjia	百三家
baise	白色 百色
baisekongbu	白色恐怖
baisensen	白森森
baisha	白沙 白鲨
baishan	白山
baishangdihui	拜上帝会
baishanheishui	白山黑水
baishanshi	白山市
baishao	白芍
baishatang	白砂糖
baishawa	白沙瓦
baishazhou	白沙洲
